decision,reason,keepId,keepName,removeId,removeName,keepItems,removeItems,keepSample,removeSample,reviewNote
"","one-character difference","legacy_7ed1b791553e3ea3cb482307","Amal Nur Karim","legacy_c007050cacb990c0f623e12f","Alal Nur Karim","10","1","Botanica | Verdana | Sprout | Botanica Special Edition","Pocket Change Prototype","Set decision to MERGE only after confirming these are the same identity."
"","one-character difference","creator_d14f587277aaa1b848f961ac782a247e","Aleseva Pry Ltd","creator_58643205e7f7d3743a1d37c6a2f1cab0","Aleseva Pty Ltd","1","1","The Kelly Gang","Cuban Missle Crisis","Set decision to MERGE only after confirming these are the same identity."
"","one-character difference","creator_0707a186c549f9d1390f7840f4fc0f2f","Ark Playing Cards","creator_c8fadbb7de6337fb339acbf3c21d704d","Art Playing Cards","8","4","Vertical Black Gilded Unnumbered | Vertical Red Gilded Unnumbered | Apollo Standard | Ankh Standard","Leonardo Gold | Leonardo Silver | Merlin Illuminations | Leonardo Art Coin","Set decision to MERGE only after confirming these are the same identity."
"","possible short prefix variant","legacy_897e32713aeb8474ba515fd2","B.P. Grimaud","creator_a30ce3d23b2869c8d0cf9c8531b28177","Grimaud","6","1","Jeu Louis XV | Jules Verne Rocket | Jules Verne Hot Air Balloon | Cartes Indiennes (Collection Venise Simplon Orient Express red)","1900 Jeu Des Cartes","Set decision to MERGE only after confirming these are the same identity."
"","one-character difference","legacy_ea3f55e774d67afd0d02adcc","Curtis Jinkins","legacy_b0caf191217a71da0827cfc7","Curtis Jenkins","6","3","Monarchs Blue | Monarchs Green | Monarchs Purple | Monarchs Prestige Edition","Drifters Blue | Drifters Black | Drifters Brown","Set decision to MERGE only after confirming these are the same identity."
"","one-character difference","creator_a4dd4a20161c56fccb09c0fae81f3b5a","Edward H. Mitchell","creator_052522ab2fe958f908dc703ec691e334","Edward H. Michell","2","1","New York City & Hudson River Souvenir Playing Cards | Alaska Souvenir Playing Cards","Oregon Souvenir Playing Cards","Set decision to MERGE only after confirming these are the same identity."
"","same after spacing/punctuation normalization","legacy_8cdccb03518603add15b7b60","Erte","legacy_a8683b313b83802d6a506523","Erté","1","1","La Traviata","The Art of Erté","Set decision to MERGE only after confirming these are the same identity."
"","one-character difference","legacy_2be12a5b8dee0fb153b8e79b","Evgenia Zhade","legacy_1ac6a0b14f5fa0a6da9b1db5","Evgania Zhade","4","1","Imbolc | Samhain | Beltane | Lughnasadh","Dark Kingdom","Set decision to MERGE only after confirming these are the same identity."
"","same after spacing/punctuation normalization","creator_7ff973238ee47a2fad9d3f048375d14d","Expert Playing Card Co.","creator_979eea8586667db37101126bd6228926","Expert Playing Card Co","3","2","Zen Pure Black | Jerry's Nugget Red (Modern Version) | Jerry's Nugget Blue (Modern Version)","Exquisite Fortuna | Jerry's Nugget Kings Wild","Set decision to MERGE only after confirming these are the same identity."
"","same after spacing/punctuation normalization","legacy_b7c7dbd427755b4cc3c3bbc3","J.C. Desevre","legacy_733359d4ead18e94df9c278f","JC Desevre","3","1","Sleepy Hollow | Sleepy Hollow v2","Medallions","Set decision to MERGE only after confirming these are the same identity."
"","one-character difference","legacy_ba7a5df2a4a9e49c775ce6d6","Johnny Whaam","legacy_cb0dff01e254d2eb717eb5f3","Johnny Wham","3","3","US Presidents Democratic Blue | US Presidents Republican Red | Stargazer","City Skylines New York | City Skylines Los Angeles | City Skylines Chicago","Set decision to MERGE only after confirming these are the same identity."
"","one-character difference","legacy_9bece88c472c05e11b3f3586","Jonatan Burton","legacy_32cd7663845f48e939838967","Jonathan Burton","1","1","Odd Bods","If an Octopus Could Palm v2","Set decision to MERGE only after confirming these are the same identity."
"","same after spacing/punctuation normalization","creator_487c08829708b0eab9eeaa893772f5c5","Kingstar","creator_8d59147360b016dc02fc39e144f42589","King Star","7","4","Manas Rebirth | Manas Blaze | Manas Judgement | Manas Frost","Monkey King Women's Kingdom | Pixel Tarot | Pixel Mini Tarot | Space Cat aka Starry Dreams","Set decision to MERGE only after confirming these are the same identity."
"","same after spacing/punctuation normalization","legacy_eb831f2e493cbc7884ac15b2","Lun Zi","legacy_3f980bc633897a208eb46630","Lunzi","4","1","Childhood Gilded | Childhood Standard | Sleep Walk Standard | Sleep Walk Gilded","Day Dreamer","Set decision to MERGE only after confirming these are the same identity."
"","same after spacing/punctuation normalization","creator_8260252f681e689ebe56b962ed9c2fe0","Playingcarddecks.com","creator_594da2a683fd2fea63e675ed5886c6eb","PlayingCardDecks.com","19","6","Cotta's Almanac I Transformation Reproduction | Squared Faro Blue | Ye Witches' Fortune No. 62 Red | Squared Faro Red Gilded","Testament Classic Edition | 5th Kingdom Prototype | Dondorf ""Four Continents"" Standard Red | Dondorf ""Four Continents"" Standard Blue","Set decision to MERGE only after confirming these are the same identity."
"","same after spacing/punctuation normalization","creator_c646add9847e569e81ffc1cfe185ed55","Purely Idea","creator_a234b1b3f93cd74b20d01d7f28f54605","PurelyIdea","1","1","Blood & Beast Gold","Vitrum Mosaic Spade","Set decision to MERGE only after confirming these are the same identity."
"","same after spacing/punctuation normalization","legacy_df78d206bcdc26e1c57b42c1","RJ Tomlinson","legacy_f48094e20cf1751ab4e1f8b5","R.J. Tomlinson","2","1","Barclay Mountain Co. | Titanic Death Third Class","Titanic Tarot","Set decision to MERGE only after confirming these are the same identity."
"","same after spacing/punctuation normalization","legacy_2fdbc807bb8ed3b7417a35c2","RelentlessVenture","creator_94965e3a0d48e26d6c4572e56081631f","Relentless Venture","4","2","Aquatic Kingdoms Atlantis Red Edge | Aquatic Kingdoms Helike | Edge of Chaos Discord Deluxe | Edge of Chaos Harmony Deluxe","Labyrinth Depth | Labyrinth Abyss","Set decision to MERGE only after confirming these are the same identity."
"","one-character difference","legacy_17a67d3567ef70d227eb4606","Toomas Pintson","legacy_3fe715a6feb9f42e3b2f2fa8","Thomas Pintson","5","1","Gemini Casino Yellow | Winterberry | Mondrian | Tempo","Winterberry","Set decision to MERGE only after confirming these are the same identity."
"","same after spacing/punctuation normalization","creator_bd4be23175f6b9dcb5f4931e78631438","Van Noy Interstate Co.","creator_5fedc493e8a870178c4bb179c4ecb903","Van Noy Interstate Co","2","1","Along the Line of the C.M and St. Paul - Lake Michigan to Puget Sound | The Golden West / Southern Pacific","Denver & Rio Grande, Western & Western Pacific Railways","Set decision to MERGE only after confirming these are the same identity."
"","same after spacing/punctuation normalization","legacy_b20a3687da06cc51853ec58f","Vyseri Art","legacy_21b2d40676dc43c0ad2104ee","VyseriArt","2","1","Apocalypse | Avian","Final Fantasy VIII Triple Triad","Set decision to MERGE only after confirming these are the same identity."
