reason,valueA,valueB,normalizedA,normalizedB,proposedSlugA,proposedSlugB,levenshteinDistance,deckCountA,deckCountB,sampleDecksA,sampleDecksB
levenshtein,007,1st,007,1st,007,1st,3,1,1,007,1st v3
levenshtein,007,666,007,666,007,666,3,1,1,007,666 Purple Inferno
levenshtein,007,ARW,007,arw,007,arw,3,1,1,007,ARW v2.1
levenshtein,007,D23,007,d23,007,d23,3,1,1,007,Magic & Mystery
levenshtein,007,DC,007,dc,007,dc,3,1,2,007,Dark Knight | Superman
levenshtein,007,Elf,007,elf,007,elf,3,1,1,007,Elf
levenshtein,007,Eva,007,eva,007,eva,3,1,11,007,Eva Original | Eva Original (signed) | Eva Noire
levenshtein,007,Lux,007,lux,007,lux,3,1,2,007,Lux Tarot | Lux Tarot Gilded
levenshtein,007,Neo,007,neo,007,neo,3,1,3,007,Neo | Neo Ltd | Neo Wave Ultra Sunset
levenshtein,007,NPH,007,nph,007,nph,3,1,1,007,NPH
levenshtein,007,Pi,007,pi,007,pi,3,1,3,007,Pi Standard | Plum Pi Standard | Chocolate Pi Standard
levenshtein,007,SNL,007,snl,007,snl,3,1,1,007,SNL
levenshtein,007,VHS,007,vhs,007,vhs,3,1,6,007,VHS 1982 Standard | VHS 1982 Early Light E. 12 | VHS 1982 Pinewood Derby '86
levenshtein,007,WB,007,wb,007,wb,3,1,1,007,WB
levenshtein,1969,1st,1969,1st,1969,1st,3,2,1,1969 | 1969 Limited,1st v3
levenshtein,1969,666,1969,666,1969,666,3,2,1,1969 | 1969 Limited,666 Purple Inferno
levenshtein,1st,666,1st,666,1st,666,3,1,1,1st v3,666 Purple Inferno
levenshtein,1st,ARW,1st,arw,1st,arw,3,1,1,1st v3,ARW v2.1
levenshtein,1st,Brut,1st,brut,1st,brut,3,1,1,1st v3,Brut
levenshtein,1st,Cult,1st,cult,1st,cult,3,1,8,1st v3,Cult: Air (Silver Seal) | Cult: Air (Blue Seal - Inner Circle) | Cult: Earth (Green Seal)
levenshtein,1st,D23,1st,d23,1st,d23,3,1,1,1st v3,Magic & Mystery
levenshtein,1st,DC,1st,dc,1st,dc,3,1,2,1st v3,Dark Knight | Superman
levenshtein,1st,Elf,1st,elf,1st,elf,3,1,1,1st v3,Elf
levenshtein,1st,Eva,1st,eva,1st,eva,3,1,11,1st v3,Eva Original | Eva Original (signed) | Eva Noire
levenshtein,1st,Less,1st,less,1st,less,3,1,2,1st v3,Less Silver | Less Gold
levenshtein,1st,Lux,1st,lux,1st,lux,3,1,2,1st v3,Lux Tarot | Lux Tarot Gilded
levenshtein,1st,Mint,1st,mint,1st,mint,3,1,2,1st v3,Mint v2 Cucumber | Mint v2 Blueberry Mint
levenshtein,1st,Neo,1st,neo,1st,neo,3,1,3,1st v3,Neo | Neo Ltd | Neo Wave Ultra Sunset
levenshtein,1st,NPH,1st,nph,1st,nph,3,1,1,1st v3,NPH
levenshtein,1st,Pi,1st,pi,1st,pi,3,1,3,1st v3,Pi Standard | Plum Pi Standard | Chocolate Pi Standard
levenshtein,1st,SNL,1st,snl,1st,snl,3,1,1,1st v3,SNL
levenshtein,1st,VHS,1st,vhs,1st,vhs,3,1,6,1st v3,VHS 1982 Standard | VHS 1982 Early Light E. 12 | VHS 1982 Pinewood Derby '86
levenshtein,1st,WB,1st,wb,1st,wb,3,1,1,1st v3,WB
levenshtein,666,ARW,666,arw,666,arw,3,1,1,666 Purple Inferno,ARW v2.1
levenshtein,666,D23,666,d23,666,d23,3,1,1,666 Purple Inferno,Magic & Mystery
levenshtein,666,DC,666,dc,666,dc,3,1,2,666 Purple Inferno,Dark Knight | Superman
levenshtein,666,Elf,666,elf,666,elf,3,1,1,666 Purple Inferno,Elf
levenshtein,666,Eva,666,eva,666,eva,3,1,11,666 Purple Inferno,Eva Original | Eva Original (signed) | Eva Noire
levenshtein,666,Lux,666,lux,666,lux,3,1,2,666 Purple Inferno,Lux Tarot | Lux Tarot Gilded
levenshtein,666,Neo,666,neo,666,neo,3,1,3,666 Purple Inferno,Neo | Neo Ltd | Neo Wave Ultra Sunset
